movie_id,title_clean,id
1,toy story,862
2,jumanji,8844
3,grumpier old men,15602
4,waiting to exhale,31357
5,father of the bride part ii,11862
6,heat,949
7,sabrina,11860
8,tom and huck,45325
9,sudden death,9091
10,goldeneye,710
12,dracula: dead and loving it,12110
13,balto,21032
14,nixon,10858
15,cutthroat island,1408
16,casino,524
17,sense and sensibility,4584
18,four rooms,5
19,ace ventura: when nature calls,9273
20,money train,11517
21,get shorty,8012
22,copycat,1710
23,assassins,9691
24,powder,12665
25,leaving las vegas,451
26,othello,16420
27,now and then,9263
28,persuasion,17015
31,dangerous minds,9909
32,twelve monkeys,63
33,wings of courage,78802
34,babe,9598
35,carrington,47018
36,dead man walking,687
37,across the sea of time,139405
38,it takes two,33689
39,clueless,9603
40,"cry, the beloved country",34615
41,richard iii,31174
42,dead presidents,11443
43,restoration,35196
44,mortal kombat,9312
45,to die for,577
46,how to make an american quilt,11861
48,pocahontas,10530
49,when night is falling,8391
51,guardian angel,117164
52,mighty aphrodite,11448
53,lamerica,49133
55,georgia,97406
56,kids of the round table,124057
57,home for the holidays,9089
61,eye for an eye,17182
62,mr. holland's opus,2054
63,don't be a menace to south central while drinking your juice in the hood,10607
64,two if by sea,19760
65,bio-dome,9536
66,lawnmower man 2: beyond cyberspace,11525
67,two bits,40628
69,friday,10634
70,from dusk till dawn,755
71,fair game,11859
72,kicking and screaming,28387
74,bed of roses,20927
75,big bully,36929
76,screamers,9102
77,nico icon,124626
81,things to do in denver when you're dead,400
83,once upon a time... when we were colored,146599
84,last summer in the hamptons,188588
85,angels and insects,8447
86,white squall,10534
87,dunston checks in,17414
88,black sheep,13997
89,nick of time,2086
92,mary reilly,9095
93,vampire in brooklyn,12158
94,beautiful girls,9283
95,broken arrow,9208
98,shopping,45549
99,heidi fleiss: hollywood madam,63076
100,city hall,11062
101,bottle rocket,13685
102,mr. wrong,47475
103,unforgettable,2045
104,happy gilmore,9614
107,muppet treasure island,10874
108,catwalk,89333
109,headless body in topless bar,96357
110,braveheart,197
111,taxi driver,103
112,rumble in the bronx,33542
113,before and after,43566
114,margaret's museum,71754
115,happiness is in the field,43612
116,anne frank remembered,51352
118,if lucy fell,10324
120,race the sun,55731
122,boomerang,11066
123,chungking express,11104
125,flirting with disaster,2074
128,jupiter's wife,290157
129,pie in the sky,110972
130,angela,32622
131,frankie starlight,73067
132,jade,11863
133,nueba yol,55475
134,sonic outlaws,124636
135,down periscope,9101
136,from the journals of jean seberg,123360
137,man of the year,5757
139,target,124639
145,bad boys,9737
149,amateur,30157
150,apollo 13,568
151,rob roy,11780
153,batman forever,414
154,belle de jour,649
155,beyond rangoon,1873
156,blue in the face,5894
157,canadian bacon,1775
158,casper,8839
159,clockers,20649
160,congo,10329
161,crimson tide,8963
162,crumb,26564
163,desperado,8068
164,devil in a blue dress,8512
165,die hard: with a vengeance,1572
167,feast of july,259209
168,first knight,6520
170,hackers,10428
171,jeffrey,17447
172,johnny mnemonic,9886
173,judge dredd,9482
174,jury duty,19326
175,kids,9344
176,living in oblivion,9071
177,lord of illusions,8973
178,love & human remains,15730
179,mad love,47608
180,mallrats,2293
181,mighty morphin power rangers: the movie,9070
182,moonlight and valentino,68274
183,mute witness,48787
184,nadja,34574
186,nine months,11472
187,party girl,36196
189,reckless,58372
190,safe,32646
193,showgirls,10802
194,smoke,10149
195,something to talk about,18402
196,species,9348
198,strange days,281
201,three wishes,47939
202,total eclipse,36834
203,"to wong foo, thanks for everything! julie newmar",9090
204,under siege 2: dark territory,3512
205,unstrung heroes,52856
206,unzipped,77350
208,waterworld,9804
209,white man's burden,31611
210,wild bill,65796
212,bushwhacked,26258
215,before sunrise,76
216,billy madison,11017
218,boys on the side,9382
220,castle freak,18256
222,circle of friends,22625
223,clerks,2292
224,don juan demarco,1909
225,disclosure,8984
227,drop zone,4954
229,death and the maiden,10531
230,dolores claiborne,11929
232,eat drink man woman,10451
233,exotica,20156
234,exit to eden,18395
235,ed wood,522
236,french kiss,397
237,forget paris,10525
238,far from home: the adventures of yellow dog,27985
240,hideaway,27303
241,fluke,21183
243,gordy,47867
244,gumby: the movie,43475
246,hoop dreams,14275
247,heavenly creatures,1024
248,houseguest,17207
249,immortal beloved,13701
250,heavyweights,14819
252,i.q.,11777
253,interview with the vampire,628
254,jefferson in paris,87729
256,junior,6280
257,just cause,9061
259,kiss of death,6071
261,little women,9587
263,ladybird ladybird,49980
266,legends of the fall,4476
267,major payne,11008
268,little odessa,47504
270,love affair,43742
271,losing isaiah,28313
273,mary shelley's frankenstein,3036
274,man of the house,40490
275,mixed nuts,24070
276,milk money,8986
277,miracle on 34th street,10510
278,miami rhapsody,17402
279,my family,38722
280,murder in the first,8438
281,nobody's fool,11593
282,nell,1945
283,new jersey drive,39310
284,new york cop,109560
285,beyond bedlam,56428
287,nina takes a lover,131957
288,natural born killers,241
289,only you,9058
290,once were warriors,527
292,outbreak,6950
296,pulp fiction,680
297,panther,41478
298,pushing hands,25296
299,priest,40156
300,quiz show,11450
301,picture bride,30304
304,roommates,161495
306,three colors: red,110
307,three colors: blue,108
308,three colors: white,109
309,"red firecracker, green firecracker",159185
310,rent-a-kid,36357
311,relative fear,92769
312,stuart saves his family,28033
316,stargate,2164
319,shallow grave,9905
320,suture,87078
322,swimming with sharks,20306
327,tank girl,9067
329,star trek: generations,193
330,tales from the hood,25066
331,tom & viv,46797
332,village of the damned,12122
333,tommy boy,11381
334,vanya on 42nd street,32636
337,what's eating gilbert grape,1587
338,virtuosity,9271
339,while you were sleeping,2064
341,double happiness,60855
342,muriel's wedding,236
344,ace ventura: pet detective,3049
346,backbeat,12635
347,bitter moon,10497
348,bullets over broadway,11382
349,clear and present danger,9331
351,"corrina, corrina",10464
352,crooklyn,34152
354,cobb,29973
356,forrest gump,13
357,four weddings and a funeral,712
358,higher learning,16295
359,i like it like that,48992
360,i love trouble,10879
361,it could happen to you,10660
365,little buddha,1689
368,maverick,9359
369,mrs. parker and the vicious circle,23333
372,reality bites,2788
373,red rock west,10427
375,safe passage,49803
377,speed,1637
378,speechless,15128
379,timecop,8831
380,true lies,36955
381,when a man loves a woman,10449
382,wolf,10395
383,wyatt earp,12160
384,bad company,40480
386,s.f.w.,29444
391,jason's lyric,22067
393,street fighter,11667
394,coldblooded,32502
395,desert winds,267188
396,fall time,28732
398,frank and ollie,42981
399,girl in the cadillac,278939
400,homage,291731
401,mirage,226229
402,open season,203119
404,brother minister: the assassination of malcolm x,316098
406,federal hill,171857
407,in the mouth of madness,2654
408,8 seconds,18069
409,above the rim,19092
410,addams family values,2758
413,airheads,13595
415,another stakeout,9409
416,bad girls,11853
417,barcelona,16771
418,being human,46924
420,beverly hills cop iii,306
421,black beauty,14522
422,blink,26203
423,blown away,178
424,blue chips,19819
425,blue sky,57834
426,body snatchers,4722
427,boxing helena,18215
429,cabin boy,26391
430,calendar girl,117553
431,carlito's way,6075
432,city slickers ii: the legend of curly's gold,11310
433,clean slate,18658
434,cliffhanger,9350
435,coneheads,9612
436,color of night,2124
439,dangerous game,49299
440,dave,11566
441,dazed and confused,9571
442,demolition man,9739
444,even cowgirls get the blues,34444
445,fatal instinct,26141
446,farewell my concubine,10997
448,fearless,10443
449,fear of a black hat,20239
450,with honors,16297
451,flesh and bone,18551
452,widows' peak,25440
453,for love or money,9024
455,free willy,1634
456,fresh,13815
458,geronimo: an american legend,35588
460,getting even with dad,41579
